title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Beurre de montagne demi-sel CARREFOUR EXTRA;beurre-de-montagne-demi-sel-carrefour-extra;Crèmerie et Produits laitiers;;2,79;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Crème légère fluide CARREFOUR EXTRA;lait;Crèmerie et Produits laitiers;;2,39;0,691;0,488;0,0074;0,0576;0,129;0,0097;0
Crème entière fluide 30% MG CARREFOUR EXTRA;lait;Crèmerie et Produits laitiers;;3,15;0,69;0,487;0,0074;0,0575;0,128;0,0097;0
Crème Fraîche Entière 30% Mg CARREFOUR EXTRA;lait;Crèmerie et Produits laitiers;;2,65;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Beurre Demi-sel de Bretagne AGRILAIT;beurre-demi-sel-de-bretagne-agrilait;Crèmerie et Produits laitiers;;5,85;3,96;3,64;0,0251;0,062;0,204;0,0202;0,0034
Beurre Demi-sel Moulé  AGRILAIT;beurre-demi-sel-moule-agrilait;Crèmerie et Produits laitiers;;5,99;3,96;3,64;0,0251;0,062;0,204;0,0202;0,0034
Beurre de Baratte Au Sel de Guérande AGRILAIT;beurre-de-baratte-au-sel-de-guerande-agrilait;Crèmerie et Produits laitiers;;2,4;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Beurre Demi-sel ALAIN LEDANEC;beurre-demi-sel-alain-ledanec;Crèmerie et Produits laitiers;;2,55;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Beurre Doux ALAIN LEDANEC;beurre-doux-alain-ledanec;Crèmerie et Produits laitiers;;2,59;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Margarine Doux Anti-Eclaboussure Maître en Cuisson   ASTRA;margarine-doux-anti-eclaboussure-maitre-en-cuisson-astra;Crèmerie et Produits laitiers;;2,65;0;0;0;0;0;0;0
Margarine tartine ASTRA;margarine-tartine-astra;Crèmerie et Produits laitiers;;2,29;0;0;0;0;0;0;0
Beurre Doux 60% Mat. Gr. BOCAGE;beurre-doux-60-mat-gr-bocage;Crèmerie et Produits laitiers;;2,19;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Margarine  Doux Blocage  BOCAGE;margarine-doux-blocage-bocage;Crèmerie et Produits laitiers;;1,35;0;0;0;0;0;0;0
Beurre Doux BONS MAYENNAIS;beurre-doux-bons-mayennais;Crèmerie et Produits laitiers;;2,2;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Beurre Demi-sel BONS MAYENNAIS;beurre-demi-sel-bons-mayennais;Crèmerie et Produits laitiers;;2,21;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Beurre Demi-sel BONS MAYENNAIS;beurre-demi-sel-bons-mayennais;Crèmerie et Produits laitiers;;5,55;3,96;3,64;0,0251;0,062;0,204;0,0202;0,0034
Beurre Doux 60% Mat. Gr. BRIDEL;beurre-doux-60-mat-gr-bridel;Crèmerie et Produits laitiers;;2,35;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Beurre Demi-sel 60% Mat. Gr. BRIDEL;beurre-demi-sel-60-mat-gr-bridel;Crèmerie et Produits laitiers;;2,39;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Crème Fouettée Légère BRIDELICE;lait;Crèmerie et Produits laitiers;;2,89;0,288;0,203;0,0031;0,024;0,0535;0,0041;0
Crème Epaisse Légère 15% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;0,86;0,23;0,162;0,0025;0,0192;0,0428;0,0032;0
Crème Epaisse 15% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;0,66;0,115;0,0812;0,0012;0,0096;0,0214;0,0016;0
Crème Fouettée Légère BRIDELICE;lait;Crèmerie et Produits laitiers;;5,49;0,575;0,406;0,0062;0,048;0,107;0,0081;0
